score_2025,rank_2025,level,source_college,source_major_2025,match_status,match_count,official_college_code,official_college_name,official_major_code,official_major_name_2026,plan_num_2026,major_attr_2026,major_remark_2026,first_subject,reselect_subject,tuition,plan_id
695,58,985,北京大学,理科试验班类(理科基础类专业)(数学类),exact_school_major,1,0001,北京大学,48,理科试验班类(理科基础类专业)(数学类),30,,,物理,化学,待定,1_3_0001_5_48
694,72,985,清华大学,理科试验班(理科各专业)[交叉工程(等理科各专业)],unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
693,77,985,上海交通大学,人工智能(拔尖英才试点班),exact_school_major,1,0248,上海交通大学,01,人工智能(拔尖英才试点班),2,,,物理,化学,7700,1_3_0248_5_01
693,77,985,复旦大学,工科试验班(相辉学堂香农计划)(微电子科学与工程、人工智能、智能科学与技术、生物医学工程、电子信息科学与技术、电子科学与技术),unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
692,91,985,上海交通大学,电子信息类(IEEE试点班，含双学士学位项目)(计算机科学与技术、信息工程、信息安全、自动化),exact_school_major,1,0248,上海交通大学,04,"电子信息类(IEEE试点班,含双学士学位项目)(计算机科学与技术、信息工程、信息安全、自动化)",2,,[含电子信息类(IEEE试点班)-数学与应用数学双学士学位项目],物理,化学,7000,1_3_0248_5_04
692,91,985,上海交通大学,理科试验班类(物理方向，含双学士学位项目)(物理学、天文学),unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
692,91,985,浙江大学,工科试验班(竺可桢学院图灵班)(计算机科学与技术),exact_school_major,1,0335,浙江大学,3B,工科试验班(竺可桢学院图灵班)(计算机科学与技术),3,,,物理,化学,6900,1_3_0335_5_3B
691,109,985,上海交通大学,金融学(含金融学、计算机双学士学位项目),unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
691,109,985,上海交通大学,电子信息类(计算机永强试验班)(计算机科学与技术、软件工程、信息安全),exact_school_major,1,0248,上海交通大学,07,电子信息类(计算机永强试验班)(计算机科学与技术、软件工程、信息安全),1,,,物理,化学,7000,1_3_0248_5_07
691,109,985,上海交通大学医学院,临床医学(八年制本博连读),exact_school_major,1,9248,上海交通大学医学院,01,临床医学(八年制本博连读),2,,(卓越医学创新人才计划；含欧洲、澳洲等国家和地区临床实践交流项目),物理,化学,8140,1_3_9248_5_01
691,109,985,复旦大学,理科试验班(相辉学堂相辉计划)(数学与应用数学、物理学、化学、生物科学),exact_school_major,1,0246,复旦大学,31,理科试验班(相辉学堂相辉计划)(数学与应用数学、物理学、化学、生物科学),2,,(含数学、物理、化学、生物科学英才班),物理,化学,7700,1_3_0246_5_31
691,109,985,复旦大学,工科试验班(集成电路领军人才班)(微电子科学与工程、集成电路科学与工程),unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
690,123,985,中国人民大学,法学,exact_school_major,1,0002,中国人民大学,F1,法学,2,,(通州校区),物理,无限制,5000,1_3_0002_5_F1
690,123,985,北京大学医学部,临床医学(八年制本博连读),exact_school_major,1,9001,北京大学医学部,02,临床医学(八年制本博连读),4,,(色盲不予录取),物理,化学,6000,1_3_9001_5_02
690,123,985,北京大学医学部,口腔医学(八年制本博连读),exact_school_major,1,9001,北京大学医学部,04,口腔医学(八年制本博连读),1,,(色盲不予录取),物理,化学,6000,1_3_9001_5_04
