批次代码,批次名称,院校代号,院校国标代码,院校名称,院校省份,办学性质,专业代号,专业国标代码,专业名称,专业属性,计划数,首选科目代码,首选科目,再选科目代码,再选科目,学制,学费,专业备注,计划ID
3,普通类本科批,0001,10001,北京大学,北京,公办,13,1204,公共管理类(城市管理、行政管理),(高校专项计划),1,04,物理,K,无限制,四年,5000,"[报考高校专项计划的考生,其投档成绩应达到辽宁省特殊类型招生控制分数线上130分(含)](教育部高校专项计划,只投档符合报考条件的考生)",1_3_0001_5_13
3,普通类本科批,0001,10001,北京大学,北京,公办,42,082503,环境科学(环境、健康、生态、地理与资源环境),(高校专项计划),1,04,物理,A,化学,四年,5000,"[报考高校专项计划的考生,其投档成绩应达到辽宁省特殊类型招生控制分数线上130分(含)](教育部高校专项计划,只投档符合报考条件的考生)",1_3_0001_5_42
3,普通类本科批,0001,10001,北京大学,北京,公办,44,0711,心理学类(应用心理学),(高校专项计划),1,04,物理,K,无限制,四年,5000,"[报考高校专项计划的考生,其投档成绩应达到辽宁省特殊类型招生控制分数线上130分(含)](教育部高校专项计划,只投档符合报考条件的考生)",1_3_0001_5_44
3,普通类本科批,0001,10001,北京大学,北京,公办,48,0070,理科试验班类(理科基础类专业)(数学类),,30,04,物理,A,化学,四年,待定,,1_3_0001_5_48
3,普通类本科批,0001,10001,北京大学,北京,公办,49,0070,理科试验班类(经济)(数学类),(高校专项计划),1,04,物理,A,化学,四年,5000,"[报考高校专项计划的考生,其投档成绩应达到辽宁省特殊类型招生控制分数线上130分(含)](教育部高校专项计划,只投档符合报考条件的考生)",1_3_0001_5_49
3,普通类本科批,0002,10002,中国人民大学,北京,公办,C2,020103,国民经济管理,(高校专项计划),1,04,物理,K,无限制,四年,5000,"[报考考生高考成绩(含政策性加分)不得低于相应科类特殊类型招生控制分数线上70分(含)](教育部高校专项计划,只投档符合报考条件的考生)(通州校区)",1_3_0002_5_C2
3,普通类本科批,0002,10002,中国人民大学,北京,公办,F1,030101,法学,,2,04,物理,K,无限制,四年,5000,(通州校区),1_3_0002_5_F1
3,普通类本科批,0002,10002,中国人民大学,北京,公办,H3,00700,理科试验班(金融学与数学创新人才班)[金融工程(财政金融学院金融学与数学双学位项目)],,1,04,物理,A,化学,四年,5000,"[财政金融学院(金融学)与数学学院(数学与应用数学)共同培养,毕业获经济学、理学双主学士学位](通州校区)",1_3_0002_5_H3
3,普通类本科批,0002,10002,中国人民大学,北京,公办,H4,00700,理科试验班(金融与大数据技术创新人才班)[金融工程(财政金融学院金融学与大数据技术双学位项目)],,2,04,物理,A,化学,四年,5000,"[财政金融学院(金融学)与信息学院(数据科学与大数据技术)共同培养,毕业获经济学、工学双主学士学位](通州校区)",1_3_0002_5_H4
3,普通类本科批,0002,10002,中国人民大学,北京,公办,J3,00700,理科试验班(经济学与数学创新人才班)[数字经济(经济学院经济学与数学双学位项目)],,1,04,物理,A,化学,四年,5000,"[经济学院(经济学)与数学学院(数学与应用数学)共同培养,毕业获经济学、理学双主学士学位](通州校区)",1_3_0002_5_J3
