"批次代码","批次名称","院校代号","院校国标代码","院校名称","院校省份","办学性质","专业代号","专业国标代码","专业名称","专业属性","计划数","首选科目代码","再选科目代码","学制","学费","专业备注","计划ID"
"3","普通类本科批","0001","10001","北京大学","北京","公办","02","0501","中国语言文学类(汉语言文学、汉语言、古典文献学、应用语言学)","(高校专项计划)","1","08","K","四年","5000","[报考高校专项计划的考生,其投档成绩应达到辽宁省特殊类型招生控制分数线上90分(含)](教育部高校专项计划,只投档符合报考条件的考生)","1_3_0001_1_02"
"3","普通类本科批","0001","10001","北京大学","北京","公办","05","0101","哲学类[哲学、宗教学、哲学(科技哲学与逻辑学方向)]","(高校专项计划)","1","08","K","四年","5000","[报考高校专项计划的考生,其投档成绩应达到辽宁省特殊类型招生控制分数线上90分(含)](教育部高校专项计划,只投档符合报考条件的考生)","1_3_0001_1_05"
"3","普通类本科批","0001","10001","北京大学","北京","公办","13","1204","公共管理类(城市管理、行政管理)","(高校专项计划)","1","04","K","四年","5000","[报考高校专项计划的考生,其投档成绩应达到辽宁省特殊类型招生控制分数线上130分(含)](教育部高校专项计划,只投档符合报考条件的考生)","1_3_0001_5_13"
"3","普通类本科批","0001","10001","北京大学","北京","公办","17","0015","文科试验班类(不限选考科目类专业)(中国语言文学类)"," ","22","08","K","四年","待定",,"1_3_0001_1_17"
"3","普通类本科批","0001","10001","北京大学","北京","公办","42","082503","环境科学(环境、健康、生态、地理与资源环境)","(高校专项计划)","1","04","A","四年","5000","[报考高校专项计划的考生,其投档成绩应达到辽宁省特殊类型招生控制分数线上130分(含)](教育部高校专项计划,只投档符合报考条件的考生)","1_3_0001_5_42"
"3","普通类本科批","0001","10001","北京大学","北京","公办","44","0711","心理学类(应用心理学)","(高校专项计划)","1","04","K","四年","5000","[报考高校专项计划的考生,其投档成绩应达到辽宁省特殊类型招生控制分数线上130分(含)](教育部高校专项计划,只投档符合报考条件的考生)","1_3_0001_5_44"
"3","普通类本科批","0001","10001","北京大学","北京","公办","48","0070","理科试验班类(理科基础类专业)(数学类)"," ","30","04","A","四年","待定",,"1_3_0001_5_48"
"3","普通类本科批","0001","10001","北京大学","北京","公办","49","0070","理科试验班类(经济)(数学类)","(高校专项计划)","1","04","A","四年","5000","[报考高校专项计划的考生,其投档成绩应达到辽宁省特殊类型招生控制分数线上130分(含)](教育部高校专项计划,只投档符合报考条件的考生)","1_3_0001_5_49"
"3","普通类本科批","0002","10002","中国人民大学","北京","公办","C2","020103","国民经济管理","(高校专项计划)","1","08","K","四年","5000","[报考考生高考成绩(含政策性加分)不得低于相应科类特殊类型招生控制分数线上70分(含)](教育部高校专项计划,只投档符合报考条件的考生)(通州校区)","1_3_0002_1_C2"
"3","普通类本科批","0002","10002","中国人民大学","北京","公办","C2","020103","国民经济管理","(高校专项计划)","1","04","K","四年","5000","[报考考生高考成绩(含政策性加分)不得低于相应科类特殊类型招生控制分数线上70分(含)](教育部高校专项计划,只投档符合报考条件的考生)(通州校区)","1_3_0002_5_C2"
"3","普通类本科批","0002","10002","中国人民大学","北京","公办","C3","120502","档案学","(高校专项计划)","1","08","K","四年","5000","[报考考生高考成绩(含政策性加分)不得低于相应科类特殊类型招生控制分数线上70分(含)](教育部高校专项计划,只投档符合报考条件的考生)(通州校区)","1_3_0002_1_C3"
"3","普通类本科批","0002","10002","中国人民大学","北京","公办","F1","030101","法学"," ","2","04","K","四年","5000","(通州校区)","1_3_0002_5_F1"
"3","普通类本科批","0002","10002","中国人民大学","北京","公办","F1","030101","法学"," ","3","08","K","四年","5000","(通州校区)","1_3_0002_1_F1"
"3","普通类本科批","0002","10002","中国人民大学","北京","公办","F3","0503","新闻传播学类(新闻学、广播电视学、广告学、传播学、国际新闻与传播)"," ","2","08","K","四年","5000","(学院内专业自主选择,毕业时认定专业)(通州校区)","1_3_0002_1_F3"
"3","普通类本科批","0002","10002","中国人民大学","北京","公办","G1","00156","人文科学试验班(哲学、宗教学、伦理学、汉语言文学、汉语言、历史学、世界史、考古学、中国古典学)"," ","2","08","K","四年","5000","(大类中专业任选)(通州校区)","1_3_0002_1_G1"
"3","普通类本科批","0002","10002","中国人民大学","北京","公办","G4","00150","社会科学试验班(PPE专业)(哲学)"," ","1","08","K","四年","5000","(政治学、经济学与哲学专业。由哲学院、经济学院、应用经济学院、国际关系学院联合教学培养)(通州校区)","1_3_0002_1_G4"
"3","普通类本科批","0002","10002","中国人民大学","北京","公办","G7","00150","社会科学试验班(历史政治学拔尖人才班)[历史学(国际关系学院政治学与历史学双学位项目)]"," ","1","08","K","四年","5000","[国际关系学院(政治学)与历史学院(历史学)共同培养,毕业获法学、历史学双主学士学位](通州校区)","1_3_0002_1_G7"
"3","普通类本科批","0002","10002","中国人民大学","北京","公办","H1","0203","金融学类(金融学、保险学)"," ","4","08","K","四年","5000","(大类中专业任选)(通州校区)","1_3_0002_1_H1"
"3","普通类本科批","0002","10002","中国人民大学","北京","公办","H3","00700","理科试验班(金融学与数学创新人才班)[金融工程(财政金融学院金融学与数学双学位项目)]"," ","1","04","A","四年","5000","[财政金融学院(金融学)与数学学院(数学与应用数学)共同培养,毕业获经济学、理学双主学士学位](通州校区)","1_3_0002_5_H3"
"3","普通类本科批","0002","10002","中国人民大学","北京","公办","H4","00700","理科试验班(金融与大数据技术创新人才班)[金融工程(财政金融学院金融学与大数据技术双学位项目)]"," ","2","04","A","四年","5000","[财政金融学院(金融学)与信息学院(数据科学与大数据技术)共同培养,毕业获经济学、工学双主学士学位](通州校区)","1_3_0002_5_H4"
"3","普通类本科批","0002","10002","中国人民大学","北京","公办","H5","0202","财政学类(财政学、税收学)"," ","2","08","K","四年","5000","(该专业由财政金融学院培养,大类中财政学专业、税收学专业任选)(通州校区)","1_3_0002_1_H5"
"3","普通类本科批","0002","10002","中国人民大学","北京","公办","J1","0201","经济学类(经济学、国民经济管理、能源经济、国际经济与贸易)"," ","4","08","K","四年","5000","(大类中学院任选；学院内专业任选,毕业时认定专业)(通州校区)","1_3_0002_1_J1"
"3","普通类本科批","0002","10002","中国人民大学","北京","公办","J3","00700","理科试验班(经济学与数学创新人才班)[数字经济(经济学院经济学与数学双学位项目)]"," ","1","04","A","四年","5000","[经济学院(经济学)与数学学院(数学与应用数学)共同培养,毕业获经济学、理学双主学士学位](通州校区)","1_3_0002_5_J3"
"3","普通类本科批","0002","10002","中国人民大学","北京","公办","J6","0201","经济学类(新时代经济学拔尖人才班)(经济学)"," ","1","08","K","四年","5000","(通州校区)","1_3_0002_1_J6"
"3","普通类本科批","0002","10002","中国人民大学","北京","公办","L1","1202","工商管理类(数智商务、数智财会、数智金融)(工商管理、财务管理、会计学、市场营销、贸易经济)"," ","4","08","K","四年","5000","(学院内专业任选,毕业时认定专业)(通州校区)","1_3_0002_1_L1"
